* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-11 18:11:01
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: KXXS AET07 Tips
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
387.000000 65.327 171.4481
395.000000 65.288 171.9330
400.000000 65.264 172.2158
406.000000 65.236 172.5936
412.000000 65.204 173.0126
418.000000 65.178 173.3998
425.000000 65.146 173.8223
431.000000 65.115 174.1985
437.000000 65.087 174.5773
444.000000 65.060 174.9997
450.000000 65.034 175.3617
455.000000 65.008 175.6893
462.000000 64.974 176.1740
468.000000 64.953 176.5704
475.000000 64.932 177.0177
482.000000 64.905 177.4725
487.000000 64.886 177.7939
494.000000 64.866 178.2352
500.000000 64.851 178.6246
508.000000 64.828 179.1481
515.000000 64.808 179.5928
522.000000 64.786 -179.9599
530.000000 64.764 -179.4486
538.000000 64.748 -178.9341
545.000000 64.735 -178.4777
552.000000 64.721 -178.0226
560.000000 64.706 -177.5063
570.000000 64.687 -176.8580
580.000000 64.670 -176.1653
590.000000 64.657 -175.4833
600.000000 64.644 -174.8280
608.000000 64.637 -174.3102
615.000000 64.636 -173.8655
622.000000 64.636 -173.4095
630.000000 64.635 -172.8796
640.000000 64.633 -172.2106
650.000000 64.630 -171.5439
660.000000 64.632 -170.9200
670.000000 64.640 -170.2761
680.000000 64.652 -169.5869
690.000000 64.665 -168.9040
700.000000 64.680 -168.2551
710.000000 64.696 -167.6210
720.000000 64.714 -166.9810
730.000000 64.735 -166.3547
740.000000 64.752 -165.7324
750.000000 64.770 -165.0781
762.000000 64.801 -164.2618
775.000000 64.839 -163.4015
788.000000 64.876 -162.5953
800.000000 64.917 -161.8430
812.000000 64.966 -161.0871
825.000000 65.021 -160.2704
838.000000 65.076 -159.4630
850.000000 65.124 -158.7284
862.000000 65.181 -157.9977
875.000000 65.252 -157.2195
885.000000 65.307 -156.6377
900.000000 65.391 -155.7959
912.000000 65.465 -155.1615
