* REW测量的测量数据V5.20.13
* 来源: 频率响应平均数据
* 格式: Averaged data produced from the rms magnitudes of One L, One L
* 日期: 2024-10-25 20:50:28
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Averaged data produced from the rms magnitudes of One L, One L
* 测量: 均方根平均值1
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB)
1675.000000 -2.310
1700.000000 -2.234
1725.000000 -2.146
1750.000000 -2.074
1775.000000 -1.997
1800.000000 -1.890
1825.000000 -1.771
1850.000000 -1.667
1875.000000 -1.571
1900.000000 -1.472
1925.000000 -1.361
1950.000000 -1.233
1975.000000 -1.107
2000.000000 -0.980
2030.000000 -0.814
2060.000000 -0.645
2090.000000 -0.480
2120.000000 -0.347
2140.000000 -0.262
2180.000000 -0.075
2200.000000 0.028
2240.000000 0.253
2270.000000 0.409
2300.000000 0.528
2330.000000 0.647
2360.000000 0.788
2400.000000 1.003
2430.000000 1.137
2470.000000 1.276
2500.000000 1.399
2540.000000 1.568
2580.000000 1.702
2620.000000 1.817
2650.000000 1.916
2690.000000 2.066
2720.000000 2.179
2760.000000 2.325
2800.000000 2.455
2850.000000 2.579
2900.000000 2.653
2950.000000 2.671
3000.000000 2.698
3040.000000 2.745
3070.000000 2.775
3110.000000 2.786
3150.000000 2.785
3200.000000 2.792
3250.000000 2.767
3300.000000 2.687
3350.000000 2.602
3400.000000 2.533
3450.000000 2.450
3500.000000 2.399
3550.000000 2.411
3600.000000 2.405
3650.000000 2.328
3700.000000 2.225
3750.000000 2.125
3820.000000 1.959
3870.000000 1.848
3950.000000 1.719
4000.000000 1.649
4060.000000 1.550
4120.000000 1.426
4180.000000 1.356
4250.000000 1.348
4310.000000 1.330
4370.000000 1.296
4440.000000 1.253
4500.000000 1.227
4550.000000 1.212
4620.000000 1.213
4680.000000 1.256
4750.000000 1.326
4820.000000 1.368
4870.000000 1.372
4940.000000 1.359
5000.000000 1.367
5080.000000 1.416
5150.000000 1.453
5220.000000 1.487
5300.000000 1.537
5380.000000 1.646
5450.000000 1.783
5520.000000 1.889
5600.000000 1.938
5700.000000 1.954
5800.000000 1.952
5900.000000 1.876
6000.000000 1.757
6080.000000 1.637
6150.000000 1.491
6220.000000 1.329
6300.000000 1.154
6400.000000 0.923
6500.000000 0.653
6600.000000 0.358
6700.000000 0.061
6800.000000 -0.204
6900.000000 -0.440
7000.000000 -0.659
7100.000000 -0.896
7200.000000 -1.115
7300.000000 -1.276
7400.000000 -1.401
7500.000000 -1.485
7620.000000 -1.528
7750.000000 -1.508
7880.000000 -1.445
8000.000000 -1.365
8120.000000 -1.249
8250.000000 -1.106
8380.000000 -0.983
8500.000000 -0.942
8620.000000 -1.050
8750.000000 -1.446
8850.000000 -2.000
9000.000000 -3.222
9120.000000 -4.311
9250.000000 -5.269
9380.000000 -5.835
9500.000000 -5.984
9620.000000 -5.804
9750.000000 -5.316
9880.000000 -4.706
10000.000000 -4.180
10150.000000 -3.633
10300.000000 -3.324
10440.000000 -3.341
10600.000000 -3.730
10750.000000 -4.385
10900.000000 -5.211
11060.000000 -6.173
11200.000000 -6.963
11380.000000 -7.833
11500.000000 -8.318
11720.000000 -9.013
11800.000000 -9.222
12060.000000 -9.782
12200.000000 -10.132
12410.000000 -10.698
12500.000000 -10.902
12650.000000 -11.162
12800.000000 -11.357
13150.000000 -11.683
13200.000000 -11.714
13400.000000 -11.784
13600.000000 -11.744
13800.000000 -11.590
14000.000000 -11.317
14300.000000 -10.718
14500.000000 -10.091
14750.000000 -9.010
