* REW测量的测量数据V5.20.13
* 来源: 频率响应平均数据
* 格式: Averaged data produced from the rms magnitudes of L, L
* 日期: 2025-1-17 17:54:18
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Averaged data produced from the rms magnitudes of L, L
* 测量: 均方根平均值1
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 2.200 Hz
*
* 频率(Hz) SPL(dB)
258.000000 87.471
262.000000 87.422
265.000000 87.398
269.000000 87.377
272.000000 87.357
276.000000 87.324
280.000000 87.289
285.000000 87.248
290.000000 87.216
295.000000 87.189
300.000000 87.154
304.000000 87.123
307.000000 87.100
311.000000 87.072
315.000000 87.044
320.000000 87.004
325.000000 86.958
330.000000 86.914
335.000000 86.881
340.000000 86.855
345.000000 86.826
350.000000 86.791
355.000000 86.756
360.000000 86.721
365.000000 86.687
370.000000 86.654
375.000000 86.623
382.000000 86.575
387.000000 86.538
395.000000 86.492
400.000000 86.479
406.000000 86.488
412.000000 86.525
418.000000 86.582
425.000000 86.651
431.000000 86.694
437.000000 86.716
444.000000 86.714
450.000000 86.694
455.000000 86.670
462.000000 86.633
468.000000 86.602
475.000000 86.566
482.000000 86.532
487.000000 86.508
494.000000 86.474
500.000000 86.448
508.000000 86.419
515.000000 86.397
522.000000 86.377
530.000000 86.357
538.000000 86.342
545.000000 86.332
552.000000 86.320
560.000000 86.305
570.000000 86.286
580.000000 86.268
590.000000 86.248
600.000000 86.228
608.000000 86.215
615.000000 86.206
622.000000 86.197
630.000000 86.188
640.000000 86.179
650.000000 86.173
660.000000 86.168
670.000000 86.163
680.000000 86.157
690.000000 86.153
700.000000 86.154
710.000000 86.159
720.000000 86.163
730.000000 86.164
740.000000 86.165
750.000000 86.171
762.000000 86.184
775.000000 86.198
788.000000 86.209
800.000000 86.220
812.000000 86.233
825.000000 86.249
838.000000 86.268
850.000000 86.290
862.000000 86.311
875.000000 86.333
885.000000 86.348
900.000000 86.370
912.000000 86.387
925.000000 86.403
938.000000 86.417
950.000000 86.430
962.000000 86.444
975.000000 86.458
988.000000 86.471
1000.000000 86.483
1015.000000 86.497
1030.000000 86.510
1044.000000 86.521
1060.000000 86.538
1075.000000 86.556
1090.000000 86.580
1106.000000 86.616
1120.000000 86.657
1138.000000 86.719
1150.000000 86.768
1172.000000 86.881
1180.000000 86.930
1206.000000 87.116
1220.000000 87.229
1241.000000 87.409
1250.000000 87.488
1265.000000 87.623
1280.000000 87.762
1315.000000 88.090
1320.000000 88.135
1340.000000 88.315
1360.000000 88.489
1380.000000 88.657
1400.000000 88.817
1430.000000 89.043
1450.000000 89.185
1475.000000 89.354
1500.000000 89.511
1525.000000 89.653
1550.000000 89.787
1575.000000 89.913
1600.000000 90.033
1625.000000 90.147
1650.000000 90.257
1675.000000 90.365
1700.000000 90.468
1725.000000 90.567
1750.000000 90.663
1775.000000 90.758
1800.000000 90.856
1825.000000 90.956
1850.000000 91.056
1875.000000 91.154
1900.000000 91.254
1925.000000 91.356
1950.000000 91.459
1975.000000 91.563
2000.000000 91.665
2030.000000 91.788
2060.000000 91.913
2090.000000 92.039
2120.000000 92.169
2140.000000 92.256
2180.000000 92.434
2200.000000 92.522
2240.000000 92.699
2270.000000 92.831
2300.000000 92.964
2330.000000 93.097
2360.000000 93.230
2400.000000 93.408
2430.000000 93.541
2470.000000 93.717
2500.000000 93.848
2540.000000 94.021
2580.000000 94.191
2620.000000 94.357
2650.000000 94.480
2690.000000 94.639
2720.000000 94.755
2760.000000 94.904
2800.000000 95.044
2850.000000 95.207
2900.000000 95.358
2950.000000 95.493
3000.000000 95.610
3040.000000 95.691
3070.000000 95.744
3110.000000 95.807
3150.000000 95.862
3200.000000 95.922
3250.000000 95.973
3300.000000 96.016
3350.000000 96.048
3400.000000 96.067
3450.000000 96.071
3500.000000 96.057
3550.000000 96.028
3600.000000 95.984
3650.000000 95.927
3700.000000 95.858
3750.000000 95.779
3820.000000 95.658
3870.000000 95.568
3950.000000 95.423
4000.000000 95.335
4060.000000 95.234
4120.000000 95.139
4180.000000 95.049
4250.000000 94.945
4310.000000 94.857
4370.000000 94.769
4440.000000 94.670
4500.000000 94.586
4550.000000 94.517
4620.000000 94.419
4680.000000 94.335
4750.000000 94.237
4820.000000 94.137
4870.000000 94.065
4940.000000 93.960
5000.000000 93.868
5080.000000 93.739
5150.000000 93.620
5220.000000 93.496
5300.000000 93.348
5380.000000 93.194
5450.000000 93.055
5520.000000 92.914
5600.000000 92.748
5700.000000 92.532
5800.000000 92.305
5900.000000 92.066
6000.000000 91.811
6080.000000 91.591
6150.000000 91.389
6220.000000 91.178
6300.000000 90.927
6400.000000 90.601
6500.000000 90.266
6600.000000 89.929
6700.000000 89.601
6800.000000 89.299
6900.000000 89.034
7000.000000 88.819
7100.000000 88.666
7200.000000 88.582
7300.000000 88.566
7400.000000 88.614
7500.000000 88.721
7620.000000 88.917
7750.000000 89.193
7880.000000 89.514
8000.000000 89.837
8120.000000 90.173
8250.000000 90.532
8380.000000 90.869
8500.000000 91.147
8620.000000 91.388
8750.000000 91.598
8850.000000 91.719
9000.000000 91.827
9120.000000 91.845
9250.000000 91.793
9380.000000 91.662
9500.000000 91.459
9620.000000 91.159
9750.000000 90.701
9880.000000 90.091
10000.000000 89.396
10150.000000 88.387
10300.000000 87.296
10440.000000 86.274
10600.000000 85.171
10750.000000 84.232
10900.000000 83.391
11060.000000 82.592
11200.000000 81.966
11380.000000 81.248
11500.000000 80.819
11720.000000 80.125
11800.000000 79.900
12060.000000 79.268
12200.000000 78.983
12410.000000 78.630
12500.000000 78.508
12650.000000 78.345
12800.000000 78.233
13150.000000 78.236
13200.000000 78.274
13400.000000 78.533
13600.000000 78.959
13800.000000 79.513
14000.000000 80.131
14300.000000 81.069
14500.000000 81.677
14750.000000 82.399
15000.000000 83.023
15250.000000 83.437
15500.000000 83.519
15750.000000 83.188
16000.000000 82.448
16250.000000 81.384
16500.000000 80.133
16750.000000 78.830
17000.000000 77.575
17250.000000 76.425
17500.000000 75.418
17750.000000 74.580
18000.000000 73.919
18250.000000 73.435
18500.000000 73.140
18750.000000 73.045
19000.000000 73.137
19250.000000 73.369
19500.000000 73.650
19750.000000 73.845
20000.000000 73.810
20300.000000 73.314
20600.000000 72.249
20900.000000 70.673
21200.000000 68.769
21400.000000 67.435
21800.000000 64.875
22000.000000 63.711
22400.000000 61.658
22700.000000 60.354
23000.000000 59.235
23300.000000 58.288
23600.000000 57.504
24000.000000 56.687
24300.000000 56.230
24700.000000 55.827
25000.000000 55.682
25400.000000 55.701
25800.000000 55.988
26200.000000 56.576
26500.000000 57.225
26900.000000 58.417
27200.000000 59.564
27600.000000 61.126
28000.000000 62.103
28500.000000 61.759
29000.000000 59.529
29500.000000 56.049
30000.000000 52.847
30400.000000 51.520
30700.000000 51.154
31100.000000 50.905
31500.000000 50.487
32000.000000 49.549
32500.000000 48.354
33000.000000 47.307
33500.000000 46.667
34000.000000 46.370
34500.000000 46.262
35000.000000 46.256
35500.000000 46.362
36000.000000 46.612
36500.000000 46.945
37000.000000 47.286
37500.000000 47.552
38200.000000 47.669
38700.000000 47.588
39500.000000 47.459
40000.000000 47.442
40600.000000 47.453
41200.000000 47.545
41800.000000 47.743
42500.000000 48.036
43100.000000 48.255
43700.000000 48.280
44400.000000 47.839
45000.000000 47.001
45500.000000 46.004
46200.000000 44.156
46800.000000 42.249
47500.000000 40.417
