* REW测量的测量数据V5.20.13
* 来源: C:\Users\Rio Sakurada\Downloads\Moondrop Blessing 3 L.txt
* 格式: Comma/Tab/Space delimited data
* 日期: 2024-10-9 0:05:10
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Measurement imported from C:\Users\Rio Sakurada\Downloads\Moondrop Blessing 3 L.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced
* 测量: Moondrop Blessing 3 L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.000 Hz
*
* 频率(Hz) SPL(dB)
1900.000000 93.778
1925.000000 93.868
1950.000000 93.961
1975.000000 94.057
2000.000000 94.157
2030.000000 94.281
2060.000000 94.410
2090.000000 94.543
2120.000000 94.681
2140.000000 94.775
2180.000000 94.969
2200.000000 95.068
2240.000000 95.272
2270.000000 95.428
2300.000000 95.587
2330.000000 95.747
2360.000000 95.910
2400.000000 96.129
2430.000000 96.293
2470.000000 96.511
2500.000000 96.672
2540.000000 96.883
2580.000000 97.088
2620.000000 97.283
2650.000000 97.423
2690.000000 97.597
2720.000000 97.717
2760.000000 97.864
2800.000000 97.993
2850.000000 98.128
2900.000000 98.235
2950.000000 98.314
3000.000000 98.365
3040.000000 98.387
3070.000000 98.393
3110.000000 98.385
3150.000000 98.361
3200.000000 98.311
3250.000000 98.242
3300.000000 98.158
3350.000000 98.063
3400.000000 97.963
3450.000000 97.862
3500.000000 97.762
3550.000000 97.665
3600.000000 97.573
3650.000000 97.485
3700.000000 97.402
3750.000000 97.321
3820.000000 97.212
3870.000000 97.137
3950.000000 97.020
4000.000000 96.950
4060.000000 96.869
4120.000000 96.794
4180.000000 96.724
4250.000000 96.651
4310.000000 96.596
4370.000000 96.547
4440.000000 96.499
4500.000000 96.464
4550.000000 96.439
4620.000000 96.409
4680.000000 96.387
4750.000000 96.363
4820.000000 96.339
4870.000000 96.320
4940.000000 96.293
5000.000000 96.270
5080.000000 96.246
5150.000000 96.239
5220.000000 96.252
5300.000000 96.302
5380.000000 96.396
5450.000000 96.514
5520.000000 96.658
5600.000000 96.833
5700.000000 97.014
5800.000000 97.077
5900.000000 96.959
6000.000000 96.641
6080.000000 96.262
6150.000000 95.868
6220.000000 95.440
6300.000000 94.938
6400.000000 94.322
6500.000000 93.744
6600.000000 93.225
6700.000000 92.795
6800.000000 92.494
6900.000000 92.364
7000.000000 92.426
7100.000000 92.681
7200.000000 93.110
7300.000000 93.687
7400.000000 94.389
7500.000000 95.186
7620.000000 96.207
7750.000000 97.250
7880.000000 98.009
8000.000000 98.277
8120.000000 98.051
8250.000000 97.296
8380.000000 96.179
8500.000000 95.010
8620.000000 93.860
8750.000000 92.760
8850.000000 92.055
9000.000000 91.197
9120.000000 90.628
9250.000000 90.095
9380.000000 89.658
9500.000000 89.352
9620.000000 89.145
9750.000000 89.030
9880.000000 89.018
10000.000000 89.083
10150.000000 89.236
10300.000000 89.422
10440.000000 89.578
10600.000000 89.693
10750.000000 89.717
10900.000000 89.657
11060.000000 89.506
11200.000000 89.306
11380.000000 88.984
11500.000000 88.754
11720.000000 88.362
11800.000000 88.232
12060.000000 87.816
12200.000000 87.558
12410.000000 87.086
12500.000000 86.852
12650.000000 86.430
12800.000000 85.994
13150.000000 85.112
13200.000000 85.024
13400.000000 84.811
13600.000000 84.867
13800.000000 85.219
14000.000000 85.877
14300.000000 87.400
14500.000000 88.671
14750.000000 90.260
15000.000000 91.468
15250.000000 92.001
15500.000000 91.833
15750.000000 91.245
16000.000000 90.664
16250.000000 90.390
16500.000000 90.495
16750.000000 90.846
17000.000000 91.137
17250.000000 90.998
17500.000000 90.227
17750.000000 88.937
18000.000000 87.489
18250.000000 86.262
18500.000000 85.458
18750.000000 85.003
19000.000000 84.614
19250.000000 83.998
19500.000000 83.078
19750.000000 82.123
20000.000000 81.477
